,index,antecedents,consequents,consequent support
0,19582,I'm the One,T-Shirt,0.24
1,17858,Homegrown Honey,T-Shirt,0.24
2,17945,Honey Bee,T-Shirt,0.24
3,24060,One Night,T-Shirt,0.24
4,24030,One Hell Of An Amen,T-Shirt,0.24
5,792,A Guy With a Girl,T-Shirt,0.24
6,14956,For Free,T-Shirt,0.24
7,10140,Crash And Burn,T-Shirt,0.24
8,14896,"Flex (Ooh, Ooh, Ooh)",T-Shirt,0.24
9,3670,Barefoot Blue Jean Night,T-Shirt,0.24
10,14840,Flatliner (feat. Dierks Bentley),T-Shirt,0.24
11,23934,One Dance,T-Shirt,0.24
12,14816,Fix,T-Shirt,0.24
13,12540,Don't Ya,T-Shirt,0.24
14,692,679 (feat. Remy Boyz),T-Shirt,0.24
15,14706,Fight Night,T-Shirt,0.24
16,18294,House Party,T-Shirt,0.24
17,3726,Bartender,T-Shirt,0.24
18,18418,How Country Feels,T-Shirt,0.24
19,18468,How Not To,T-Shirt,0.24
20,3844,Beachin',T-Shirt,0.24
21,18536,Humble And Kind,T-Shirt,0.24
22,14528,Father Stretch My Hands Pt. 1,T-Shirt,0.24
23,18614,"Huntin', Fishin' And Lovin' Every Day",T-Shirt,0.24
24,4020,Beat Of The Music,T-Shirt,0.24
25,18720,Hurricane,T-Shirt,0.24
26,4056,Beautiful Drug,T-Shirt,0.24
27,23842,OOOUUU,T-Shirt,0.24
28,23826,Nothin' Like You,T-Shirt,0.24
29,17900,Hometown Girl,T-Shirt,0.24
30,10318,Craving You,T-Shirt,0.24
31,22514,Mean To Me,T-Shirt,0.24
32,17792,Homegrown,T-Shirt,0.24
33,25004,Rolex,T-Shirt,0.24
34,2874,Backroad Song,T-Shirt,0.24
35,24900,Relationship (feat. Future),T-Shirt,0.24
36,24872,Redbone,T-Shirt,0.24
37,24854,Record Year,T-Shirt,0.24
38,24816,Really Really,T-Shirt,0.24
39,24794,Ready Set Roll,T-Shirt,0.24
40,17030,Hard To Love,T-Shirt,0.24
41,24752,Rake It Up,T-Shirt,0.24
42,24746,Raised On It,T-Shirt,0.24
43,3196,Bad and Boujee (feat. Lil Uzi Vert),T-Shirt,0.24
44,17158,Head Over Boots,T-Shirt,0.24
45,10664,DEVASTATED,T-Shirt,0.24
46,24704,R.I.C.O. (feat. Drake),T-Shirt,0.24
47,10599,Cut It (feat. Young Dolph),T-Shirt,0.24
48,24604,Portland,T-Shirt,0.24
49,3376,Bank Account,T-Shirt,0.24
50,24546,Pop Style,T-Shirt,0.24
51,24436,Play It Again,T-Shirt,0.24
52,17260,Heartache On The Dance Floor,T-Shirt,0.24
53,24358,Peter Pan,T-Shirt,0.24
54,10526,Cruise,T-Shirt,0.24
55,17304,Hell Of A Night,T-Shirt,0.24
56,24324,Passionfruit,T-Shirt,0.24
57,17440,Highway Don't Care,T-Shirt,0.24
58,17668,Home Alone Tonight,T-Shirt,0.24
59,24178,Panda,T-Shirt,0.24
60,18836,I Don't Dance,T-Shirt,0.24
61,23756,No Type,T-Shirt,0.24
62,23728,No Such Thing as a Broken Heart,T-Shirt,0.24
63,9794,Country Girl (Shake It For Me),T-Shirt,0.24
64,13266,Drunk On A Plane,T-Shirt,0.24
65,5842,Bounce Back,T-Shirt,0.24
66,23222,No Complaints,T-Shirt,0.24
67,19806,In Case You Didn't Know,T-Shirt,0.24
68,23203,Night's On Fire,T-Shirt,0.24
69,23160,Night Train,T-Shirt,0.24
70,13391,Drunk On You,T-Shirt,0.24
71,19928,It All Started with a Beer,T-Shirt,0.24
72,19988,It Don't Hurt Like It Used To,T-Shirt,0.24
73,20092,It Goes Like This,T-Shirt,0.24
74,20205,It's A Vibe,T-Shirt,0.24
75,5988,Boys 'Round Here (feat. Pistol Annies & Friends),T-Shirt,0.24
76,20316,"John Cougar, John Deere, John 3:16",T-Shirt,0.24
77,13520,Drunk On Your Love,T-Shirt,0.24
78,23082,Ni**as In Paris,T-Shirt,0.24
79,20358,Jordan Belfort,T-Shirt,0.24
80,23000,Needed Me,T-Shirt,0.24
81,14275,Fake Love,T-Shirt,0.24
82,22916,My Shit,T-Shirt,0.24
83,22862,My Girl,T-Shirt,0.24
84,6194,Break Up In A Small Town,T-Shirt,0.24
85,22800,Moves,T-Shirt,0.24
86,22710,Money Longer,T-Shirt,0.24
87,13618,ELEMENT.,T-Shirt,0.24
88,22640,Mind Reader,T-Shirt,0.24
89,22591,Middle of a Memory,T-Shirt,0.24
90,6408,Break Up with Him,T-Shirt,0.24
91,23242,No Flockin,T-Shirt,0.24
92,5563,Bottoms Up,T-Shirt,0.24
93,23302,No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,T-Shirt,0.24
94,19316,I Love This Life,T-Shirt,0.24
95,18924,I Don't Fuck With You,T-Shirt,0.24
